variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,20, 1.11e-16, 5.55e-18, 1.09e-17, 0.292 +  0 t, 1
OCNFRAC,fraction,0.665,20, 0.00275, 0.000137, 0.000269, 0.669 + -0.000394 t, 7.14e-06
SST,K,292.930,20, 0.193, 0.010, 0.019, 293.150 + -0.021 t, 0.003
TS,K,288.186,20, 0.282, 0.014, 0.028, 288.600 + -0.039 t, 0.000
SWCF,W/m2,-48.456,20, 0.501, 0.025, 0.049,-48.056 + -0.038 t, 0.054
LWCF,W/m2,25.663,20, 0.142, 0.007, 0.014, 25.615 +  0.005 t, 0.436
PRECT,m/s,3.39e-08,20, 3.33e-10, 1.67e-11, 3.26e-11, 3.44e-08 + -4.35e-11 t, 0.000129
TAUX,N/m2,-0.00699,20, 0.000938, 4.69e-05, 9.19e-05,-0.00776 +  7.28e-05 t, 0.0479
TAUY,N/m2,-0.00107,20, 0.000509, 2.55e-05, 4.99e-05,-0.00067 + -3.82e-05 t, 0.0569
TGCLDLWP,kg/m2,0.0539,20, 0.000642, 3.21e-05, 6.3e-05, 0.0537 +  1.71e-05 t, 0.518
PSL,Pa,101114.563,20, 4.376, 0.219, 0.429, 101118.549 + -0.380 t, 0.025
TREFHT,K,287.123,20, 0.286, 0.014, 0.028, 287.539 + -0.040 t, 0.000
