variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.703,20, 0.325, 0.016, 0.032, 282.051 + -0.033 t, 0.006
PREC,mm d$^{-1}$,2.240,20, 0.052, 0.003, 0.005, 2.277 + -0.003 t, 0.089
ELAI,m${-2}$ m${-2}$,0.979,20, 0.0686, 0.00343, 0.00672, 1.05 + -0.00688 t, 0.00755
FSDS,W m$^{-2}$,200.876,20, 0.578, 0.029, 0.057, 200.372 +  0.048 t, 0.033
FLDS,W m$^{-2}$,302.852,20, 2.292, 0.115, 0.225, 305.216 + -0.225 t, 0.009
ASA,% reflected,29.021,20, 0.143, 0.007, 0.014, 28.848 +  0.016 t, 0.001
RNET,W m$^{-2}$,74.064,20, 0.494, 0.025, 0.048, 74.584 + -0.050 t, 0.007
FSH,W m$^{-2}$,36.988,20, 0.561, 0.028, 0.055, 36.443 +  0.052 t, 0.015
ET,W m$^{-2}$,36.095,20, 0.749, 0.037, 0.073, 36.959 + -0.082 t, 0.003
FCTR,W m$^{-2}$,17.035,20, 0.729, 0.036, 0.071, 17.893 + -0.082 t, 0.002
FGEV,W m$^{-2}$,11.433,20, 0.368, 0.018, 0.036, 11.103 +  0.031 t, 0.027
FCEV,W m$^{-2}$,7.626,20, 0.243, 0.012, 0.024, 7.963 + -0.032 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.936,20, 0.031, 0.00155, 0.00304, 0.943 + -0.000674 t, 0.599
SNOWDP,m,2.293,20, 0.014, 0.001, 0.001, 2.316 + -0.002 t, 0.000
GPP,PgC y$^{-1}$,81.492,20, 3.384, 0.169, 0.332, 84.716 + -0.307 t, 0.018
NPP,PgC y$^{-1}$,32.559,20, 0.929, 0.046, 0.091, 32.884 + -0.031 t, 0.417
NEE,PgC y$^{-1}$,5.389,20, 1.418, 0.071, 0.139, 7.590 + -0.210 t, 0.000
NBP,PgC y$^{-1}$,-5.889,20, 1.424, 0.071, 0.140,-8.104 +  0.211 t, 0.000
BTRANMN,unitless,0.569,20, 0.00517, 0.000258, 0.000506, 0.562 +  0.00066 t, 0.000212
TOTVEGC,PgC,456.272,20, 24.192, 1.210, 2.371, 499.785 + -4.144 t, 0.000
TOTECOSYSC,gC/m^2,19557.095,20, 226.742, 11.337, 22.221, 19967.827 + -39.117 t, 0.000
TOTSOMC_1m,PgC,1587.742,20, 5.697, 0.285, 0.558, 1598.099 + -0.986 t, 0.000
ALTMAX,m,32.036,20, 0.185, 0.009, 0.018, 31.704 +  0.032 t, 0.000
FAREA_BURNED,s-1,2.81e-09,20, 3.38e-10, 1.69e-11, 3.31e-11, 3.24e-09 + -4.09e-11 t, 0.000606
DSTFLXT,Pg y$^{-1}$,8.469,20, 0.585, 0.029, 0.057, 7.919 +  0.052 t, 0.020
MEG_isoprene,Tg y$^{-1}$,474.487,20, 74.075, 3.704, 7.259, 570.829 + -9.175 t, 0.000
